video_id,video_title,video_view_count,video_like_count,comment_count,tags,published_at,influencer_id,category_id,duration,embed_link,thumbnail_url
0tCjeSDwJ78,Biar Gampang Move On,49485,1704,21,,2024-07-26T04:30:43Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:01:00,https://www.youtube.com/embed/0tCjeSDwJ78,https://i.ytimg.com/vi/0tCjeSDwJ78/hqdefault.jpg
LL0XU3HZAOw,Dodit Mulyanto Beneran Berhenti Stand Up?!,418725,8745,447,raditya dika,2024-07-25T11:30:10Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:27:20,https://www.youtube.com/embed/LL0XU3HZAOw,https://i.ytimg.com/vi/LL0XU3HZAOw/hqdefault.jpg
0Hulq2YJdrI,Video Ini Isinya Ngomongin Game,552928,16278,1490,raditya dika,2024-07-24T12:00:02Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:04:01,https://www.youtube.com/embed/0Hulq2YJdrI,https://i.ytimg.com/vi/0Hulq2YJdrI/hqdefault.jpg
IgOIWdY1Ri0,Meyden Mau Dibakar Young Lex,683378,18618,909,raditya dika,2024-07-23T11:30:10Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:54:16,https://www.youtube.com/embed/IgOIWdY1Ri0,https://i.ytimg.com/vi/IgOIWdY1Ri0/hqdefault.jpg
q5x1SNjRQwY,Buat yang Lagi Stress..,1004854,30542,1372,raditya dika,2024-07-22T12:00:50Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:53:39,https://www.youtube.com/embed/q5x1SNjRQwY,https://i.ytimg.com/vi/q5x1SNjRQwY/hqdefault.jpg
Dn9DbPaFd4g,Akhirnya Ngobrol Bareng Istri Lagi,1114751,28531,1336,raditya dika,2024-07-19T11:30:07Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:28,https://www.youtube.com/embed/Dn9DbPaFd4g,https://i.ytimg.com/vi/Dn9DbPaFd4g/hqdefault.jpg
6--5ixWQGQc,Komedian Ini Ribut Sama Gen Z,710438,15190,893,raditya dika,2024-07-17T12:06:04Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:43:58,https://www.youtube.com/embed/6--5ixWQGQc,https://i.ytimg.com/vi/6--5ixWQGQc/hqdefault.jpg
19ISU2sk9lg,Arafah dan Halda Mencari Cinta,2173666,47619,2464,raditya dika,2024-07-16T11:30:01Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:01:35,https://www.youtube.com/embed/19ISU2sk9lg,https://i.ytimg.com/vi/19ISU2sk9lg/hqdefault.jpg
c-Ko0KLgoA8,Kenapa Orang Tua Gampang Panik?,281462,7841,436,raditya dika,2024-07-15T11:30:18Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:44:24,https://www.youtube.com/embed/c-Ko0KLgoA8,https://i.ytimg.com/vi/c-Ko0KLgoA8/hqdefault.jpg
VdJx1wH0qWo,Cerita Sialku - Raditya Dika (Official Music Video),62490,3815,1139,raditya dika,2024-07-12T11:25:09Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:00:44,https://www.youtube.com/embed/VdJx1wH0qWo,https://i.ytimg.com/vi/VdJx1wH0qWo/hqdefault.jpg
XGfoEWiy2Vk,Inilah Barista Terbaik di Dunia,1297562,27095,1323,raditya dika,2024-07-10T11:30:17Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:51:10,https://www.youtube.com/embed/XGfoEWiy2Vk,https://i.ytimg.com/vi/XGfoEWiy2Vk/hqdefault.jpg
YTm3YPo6kek,Tutorial Jadi Wibu,741478,22654,2264,raditya dika,2024-07-09T11:30:24Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:07:05,https://www.youtube.com/embed/YTm3YPo6kek,https://i.ytimg.com/vi/YTm3YPo6kek/hqdefault.jpg
GHJB5ZZNE4Q,Perempuan Ini Lebih Aneh Dari Saya,641550,13942,1391,raditya dika,2024-07-08T11:30:07Z,UC0rzsIrAxF4kCsALP6J2EsA,22,1:05:35,https://www.youtube.com/embed/GHJB5ZZNE4Q,https://i.ytimg.com/vi/GHJB5ZZNE4Q/hqdefault.jpg
GUICVAfS8ws,Kembalinya Chandra Liow,388297,10741,813,raditya dika,2024-07-03T11:30:07Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:42:41,https://www.youtube.com/embed/GUICVAfS8ws,https://i.ytimg.com/vi/GUICVAfS8ws/hqdefault.jpg
fvJvMoPLupQ,Apa Kabar Bayu Skak?,781140,22211,1289,raditya dika,2024-07-02T11:30:30Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:44:07,https://www.youtube.com/embed/fvJvMoPLupQ,https://i.ytimg.com/vi/fvJvMoPLupQ/hqdefault.jpg
d3ijXWfAP5o,Rasanya Kerja Sama Marvel..,276419,7364,379,raditya dika,2024-07-01T11:30:17Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:53:51,https://www.youtube.com/embed/d3ijXWfAP5o,https://i.ytimg.com/vi/d3ijXWfAP5o/hqdefault.jpg
OW91lAiiVwA,HAAAAAAAAAA!,2842143,80178,4968,raditya dika,2024-06-28T12:08:02Z,UC0rzsIrAxF4kCsALP6J2EsA,22,0:50:30,https://www.youtube.com/embed/OW91lAiiVwA,https://i.ytimg.com/vi/OW91lAiiVwA/hqdefault.jpg
